sensor,start,end
grate0-1,2016-10-01 08:15:22,2016-10-15 03:45:00
grate0-1,2016-12-01 08:15:22,2016-12-16 00:16:00
grate0-1,2017-01-28 08:15:22,2017-02-14 00:10:00
grate0-1,2017-03-29 08:15:22,2017-04-15 00:00:00
grate0-2,2016-10-01 08:15:22,2016-10-15 03:45:00
grate0-2,2016-11-20 08:15:22,2016-12-16 00:16:00
grate0-2,2017-02-09 08:15:22,2017-02-14 00:10:00
grate0-2,2017-03-25 08:15:22,2017-04-15 00:00:00
grate0-3,2016-10-01 08:15:22,2016-10-15 03:45:00
grate0-3,2016-11-28 08:15:22,2016-12-16 00:16:00
grate0-3,2017-01-14 08:15:22,2017-02-14 00:10:00
grate0-3,2017-03-14 08:15:22,2017-04-15 00:00:00
grate0-3,2017-07-07 00:00:00,2017-08-06 00:40:00
grate0-3,2017-12-14 00:00:00,2018-01-08 00:10:00
grate0-4,2016-10-01 08:15:22,2016-10-15 03:45:00
grate0-4,2016-12-03 08:15:22,2016-12-16 00:16:00
grate0-4,2017-02-10 08:15:22,2017-02-14 00:10:00
grate1-1,2016-10-01 00:00:00,2016-10-15 03:45:00
grate1-1,2017-03-15 00:00:00,2017-04-15 00:40:00
grate1-2,2016-10-01 00:00:00,2016-10-15 03:45:00
grate1-2,2017-03-28 00:00:00,2017-04-15 00:40:00
grate11-1,2016-11-29 00:00:00,2016-12-14 00:16:00
grate11-1,2017-03-23 00:00:00,2017-04-15 00:40:00
grate11-1,2017-12-26 00:00:00,2018-01-08 00:40:00
grate11-2,2016-11-27 00:00:00,2016-12-14 00:16:00
grate11-2,2017-03-23 00:00:00,2017-04-15 00:40:00
grate11-3,2016-11-27 00:00:00,2016-12-14 00:16:00
grate11-3,2017-03-23 00:00:00,2017-04-15 00:40:00
grate11-4,2016-11-21 00:00:00,2016-12-14 00:16:00
grate11-4,2017-03-23 00:00:00,2017-04-15 00:40:00
grate11-4,2017-12-13 00:00:00,2018-01-08 00:40:00
grate12-1,2016-10-06 08:15:22,2016-10-15 03:45:00
grate12-1,2016-12-02 08:15:22,2016-12-16 00:16:00
grate12-1,2017-04-06 08:15:22,2017-04-15 00:00:00
grate12-1,2017-07-18 00:00:00,2017-08-06 00:40:00
grate12-1,2017-12-23 00:00:00,2018-01-08 00:40:00
grate12-2,2016-10-06 08:15:22,2016-10-15 03:45:00
grate12-2,2016-12-04 08:15:22,2016-12-16 00:16:00
grate12-2,2017-04-09 08:15:22,2017-04-15 00:00:00
grate4-1,2016-10-01 00:00:00,2016-10-15 03:45:00
grate4-1,2016-11-01 00:00:00,2016-12-14 00:16:00
grate4-1,2017-01-28 00:00:00,2017-02-12 00:10:00
grate4-1,2017-02-25 00:00:00,2017-04-15 00:40:00
grate4-2,2016-10-01 00:00:00,2016-10-15 03:45:00
grate4-2,2016-11-08 00:00:00,2016-12-14 00:16:00
grate4-2,2017-03-09 00:00:00,2017-04-15 00:40:00
grate4-3,2016-10-01 00:00:00,2016-10-15 03:45:00
grate4-3,2016-12-30 00:00:00,2017-02-12 00:10:00
grate4-3,2017-03-28 00:00:00,2017-04-15 00:40:00
grate4-4,2016-10-01 00:00:00,2016-10-15 03:45:00
grate4-4,2016-11-08 00:00:00,2016-12-14 00:16:00
grate4-4,2017-01-15 00:00:00,2017-02-12 00:10:00
grate4-4,2017-03-23 00:00:00,2017-04-15 00:40:00
grate8-1,2016-11-10 00:00:00,2016-12-14 00:16:00
grate8-1,2017-03-30 00:00:00,2017-04-15 00:40:00
grate8-2,2016-11-10 00:00:00,2016-12-14 00:16:00
grate8-3,2016-11-12 00:00:00,2016-12-14 00:16:00
grate8-3,2017-04-01 00:00:00,2017-04-15 00:40:00
grate8-4,2016-11-15 00:00:00,2016-12-14 00:16:00
grate8-4,2017-01-26 00:00:00,2017-02-12 00:10:00
grate8-4,2017-03-04 00:00:00,2017-04-15 00:40:00
grate8-4,2017-12-10 00:00:00,2018-01-08 00:40:00
